calDate,bioDate,Catch
1950,1949.25,130
1950.25,1949.5,113
1950.5,1949.75,74
1950.75,1950,184
1951,1950.25,1918
1951.25,1950.5,1674
1951.5,1950.75,1089
1951.75,1951,2718
1952,1951.25,4070
1952.25,1951.5,3552
1952.5,1951.75,2311
1952.75,1952,5767
1953,1952.25,16590
1953.25,1952.5,14480
1953.5,1952.75,9420
1953.75,1953,23510
1954,1953.25,22560
1954.25,1953.5,19680
1954.5,1953.75,12800
1954.75,1954,31930
1955,1954.25,27500
1955.25,1954.5,23970
1955.5,1954.75,15610
1955.75,1955,38950
1956,1955.25,42200
1956.25,1955.5,36900
1956.5,1955.75,23990
1956.75,1956,59800
1957,1956.25,88400
1957.25,1956.5,77100
1957.5,1956.75,50200
1957.75,1957,125300
1958,1957.25,173800
1958.25,1957.5,151500
1958.5,1957.75,98600
1958.75,1958,246100
1959,1958.25,404000
1959.25,1958.5,398000
1959.5,1958.75,286000
1959.75,1959,761000
1960,1959.25,874000
1960.25,1959.5,577000
1960.5,1959.75,413000
1960.75,1960,968000
1961,1960.25,1108494
1961.25,1960.5,1145786
1961.5,1960.75,624120
1961.75,1961,1537207
1962,1961.25,1285493
1962.25,1961.5,1627836
1962.5,1961.75,950630
1962.75,1962,2129579
1963,1962.25,1637575
1963.25,1962.5,1698807
1963.5,1962.75,600967
1963.75,1963,1744938
1964,1963.25,2713618
1964.25,1963.5,1959278
1964.5,1963.75,880792
1964.75,1964,2524609
1965,1964.25,2690356
1965.25,1964.5,1896188
1965.5,1964.75,76433
1965.75,1965,1973334
1966,1965.25,3374364
1966.25,1965.5,1859114
1966.5,1965.75,560927
1966.75,1966,1829146
1967,1966.25,2952654
1967.25,1966.5,2417873
1967.5,1966.75,231717
1967.75,1967,3712442
1968,1967.25,3113658
1968.25,1967.5,2030274
1968.5,1967.75,1246241
1968.75,1968,3060753
1969,1968.25,2988227
1969.25,1968.5,2041848
1969.5,1968.75,482516
1969.75,1969,2645211
1970,1969.25,3978142
1970.25,1969.5,2770878
1970.5,1969.75,1187468
1970.75,1970,2993165
1971,1970.25,2365496
1971.25,1970.5,2181595
1971.5,1970.75,1118019
1971.75,1971,3519284
1972,1971.25,1661319
1972.25,1971.5,1846679
1972.5,1971.75,0
1972.75,1972,13917
1973,1972.25,1193000
1973.25,1972.5,357000
1973.5,1972.75,23530
1973.75,1973,48800
1974,1973.25,497104
1974.25,1973.5,1350000
1974.5,1973.75,33500
1974.75,1974,1157000
1975,1974.25,1305221
1975.25,1974.5,1350298
1975.5,1974.75,0
1975.75,1975,17187
1976,1975.25,663055
1976.25,1975.5,1406028
1976.5,1975.75,144074
1976.75,1976,819611
1977,1976.25,184800
1977.25,1976.5,395000
1977.5,1976.75,0
1977.75,1977,0
1978,1977.25,49700
1978.25,1977.5,256800
1978.5,1977.75,46220
1978.75,1978,227460
1979,1978.25,258000
1979.25,1978.5,603000
1979.5,1978.75,0
1979.75,1979,92900
1980,1979.25,0
1980.25,1979.5,149930
1980.5,1979.75,0
1980.75,1980,44958
1981,1980.25,0
1981.25,1980.5,132000
1981.5,1980.75,0
1981.75,1981,152811
1982,1981.25,195253
1982.25,1981.5,589639
1982.5,1981.75,281618
1982.75,1982,142461
1983,1982.25,108376
1983.25,1982.5,0
1983.5,1982.75,0
1983.75,1983,0
1984,1983.25,11
1984.25,1983.5,2172
1984.5,1983.75,6937
1984.75,1984,14244
1985,1984.25,99098
1985.25,1984.5,78959
1985.5,1984.75,217775
1985.75,1985,429925
1986,1985.25,486476
1986.25,1985.5,847451
1986.5,1985.75,665653
1986.75,1986,1060865
1987,1986.25,731694
1987.25,1986.5,471359
1987.5,1986.75,75756
1987.75,1987,40497
1988,1987.25,64115
1988.25,1987.5,305987
1988.5,1987.75,543470
1988.75,1988,1520533
1989,1988.25,968673
1989.25,1988.5,1779460
1989.5,1988.75,647832
1989.75,1989,56017
1990,1989.25,1081125
1990.25,1989.5,1256322
1990.5,1989.75,289529
1990.75,1990,325989
1991,1990.25,697097
1991.25,1990.5,1504752
1991.5,1990.75,78951
1991.75,1991,986317
1992,1991.25,463520
1992.25,1991.5,1582652
1992.5,1991.75,290718
1992.75,1992,1939797
1993,1992.25,1874504
1993.25,1992.5,2048368
1993.5,1992.75,378305
1993.75,1993,1878429
1994,1993.25,1862772
1994.25,1993.5,3549645
1994.5,1993.75,724935
1994.75,1994,2909762
1995,1994.25,1556082
1995.25,1994.5,2222757
1995.5,1994.75,189665
1995.75,1995,1358346
1996,1995.25,929192
1996.25,1995.5,2826503
1996.5,1995.75,420292
1996.75,1996,2776939
1997,1996.25,594930
1997.25,1996.5,3175306
1997.5,1996.75,257395
1997.75,1997,586752
1998,1997.25,315
1998.25,1997.5,45807
1998.5,1997.75,46449
1998.75,1998,628954
1999,1998.25,149154
1999.25,1998.5,2552430
1999.5,1998.75,105808
1999.75,1999,3263420
2000,1999.25,1784511
2000.25,1999.5,3556339
2000.5,1999.75,978529
2000.75,2000,2334262
2001,2000.25,1171087
2001.25,2000.5,3688813
2001.5,2000.75,321828
2001.75,2001,506704
2002,2001.25,662199
2002.25,2001.5,3449255
2002.5,2001.75,527941
2002.75,2002,1921779
2003,2002.25,5955
2003.25,2002.5,2785541
2003.5,2002.75,262094
2003.75,2003,1883286
2004,2003.25,201340
2004.25,2003.5,4257906
2004.5,2003.75,854598
2004.75,2004,2572389
2005,2004.25,25
2005.25,2004.5,4125117
2005.5,2004.75,715470
2005.75,2005,2702077
2006,2005.25,372647
2006.25,2005.5,2569714
2006.5,2005.75,0
2006.75,2006,2021336
2007,2006.25,0
2007.25,2006.5,2971830
2007.5,2006.75,0
2007.75,2007,2113096
2008,2007.25,0
2008.25,2007.5,3137640
2008.5,2007.75,0
2008.75,2008,2131244
2009,2008.25,0
2009.25,2008.5,3281605
2009.5,2008.75,132339
2009.75,2009,1800752
2010,2009.25,151496
2010.25,2009.5,2173488
2010.5,2009.75,284574
2010.75,2010,365744
2011,2010.25,410265
2011.25,2010.5,3461867
2011.5,2010.75,221286
2011.75,2011,2195077
2012,2011.25,248203
2012.25,2011.5,2042736
2012.5,2011.75,557308
2012.75,2012,385646
2013,2012.25,367408
2013.25,2012.5,1828070
2013.5,2012.75,162884
2013.75,2013,2056829
2014,2013.25,190122
2014.25,2013.5,1310259
2014.5,2013.75,414280
2014.75,2014,0
2015,2014.25,0
2015.25,2014.5,2436715
2015.5,2014.75,96826
2015.75,2015,819620
2016,2015.25,266447
2016.25,2015.5,294275
2016.5,2015.75,571730
2016.75,2016,1269544
2017,2016.25,600661
2017.25,2016.5,2183353
2017.5,2016.75,171589
2017.75,2017,6025
2018,2017.25,647002
2018.25,2017.5,3184711
2018.5,2017.75,2832
2018.75,2018,1923969
2019,2018.25,128245
2019.25,2018.5,1847677
2019.5,2018.75,178400
2019.75,2019,997159
2020,2019.25,4991
2020.25,2019.5,1876840
2020.5,2019.75,486412
2020.75,2020,1949250
2021,2020.25,500942
2021.25,2020.5,2289469
2021.5,2020.75,176084
2021.75,2021,1948332
2022,2021.25,58074
2022.25,2021.5,1915948
2022.5,2021.75,407593
2022.75,2022,1308914
